method,seed,proposals,unique_candidates,case_evaluations,invalid_proposal_cases,training_loss,dense_training_loss,interpolation_loss,extrapolation_loss,interpolation_lowpass_loss,interpolation_highpass_loss,interpolation_successes,tree_nodes,training_mean_components,search_seconds,assessment_seconds,cumulative_peak_worker_rss_kib
gp,101,384,246,1476,12,0.35441154684431647,0.3537873880443784,0.4503019340795407,0.49505624094921163,0.06868677199432544,0.831917096164756,0,14,3.0,2.441989647999435,0.023069124999892665,37224
gp,202,384,226,1356,0,0.3446801232027929,0.3439201465317896,0.2941535241060655,0.46375438579080974,0.34538197620400196,0.242925072008129,0,12,2.0,2.6608896879988606,0.019586947000789223,37996
gp,303,384,250,1500,0,0.3008580202496646,0.29988864647132235,0.4334919259965326,0.43963589863611974,0.1081964378941168,0.7587874140989483,0,9,2.0,4.56264037100118,0.046074685000348836,38212
random,101,384,316,1896,23,0.3046209741098857,0.30362442688753605,0.2723035428038078,0.4559843306440603,0.19875948856404055,0.34584759704357504,0,12,1.8333333333333333,1.4596346750004159,0.020949518999259453,37868
random,202,384,331,1986,0,0.3632561611405738,0.36249214455677353,0.367435337995715,0.3449622297898282,0.7014726074896461,0.03339806850178371,0,15,1.0,1.5937081390002277,0.03500189000260434,38180
random,303,384,319,1914,6,0.3857055863552689,0.38501016908716346,0.3854946575445554,0.4012525242990185,0.7034808269290482,0.06750848816006265,0,5,1.0,2.9883645759982755,0.04179170399947907,38212
